,oare_id,label,excavation_no,transliteration,pdf
2984,20046111-7172-4acb-b663-ac32308f9c7d,Cuneiform Tablet Kt 94/k 766 (AKT 6a 255),Kt 94/k 766,i-na dur4-ḫu-mì-it i-nu-mì a-bu-ni me-tù-ni ma-ṣa-ar-tám ku-nu-ki ša a-bi-ni a-lá-ḫu-um ip-té-ma lu KÙ.BABBAR lu URUDU SIG5 lu URUDU lá-mu-nam lu ḫu-sà-ra-am lu TÚG <gap> lu ṭup-pí ḫa-ru-mu-tim ša DAM.GÀR IGI 3 DUMU um-me-a-ni ù-šé-ṣí-a-ma a-na a-ni-na DUMU a-šur-be-el-a-wa-tim i-dí-ma i-na wa-ar-ki-tim ṭup-pu-ú É a-ni-na IGI sà-ak-li-a DUMU na-áp-ra-kà IGI PUZUR4-a-šùr DUMU ší-ik-tí-ḫa-šu-ut IGI ili5-ba-ni DUMU a-mur-IŠTAR,6a
2985,34243f4e-5da2-4192-b46f-2ed04453c10b,Cuneiform Tablet Kt 94/k 1179B (AKT 6a 257),Kt 94/k 1179B,en-um-a-šùr a-lá-ḫa-am áš-a-al um-ma en-um-a-šùr-ma a-na a-lá-ḫi-im-ma e-ni-ma-ma na-áš-pé-er-tám ku-nu-ki-kà IGI 3 ú-kà-lim-kà-ma tù-kà-i-ni-ma šu-nu-tí-ma ni-ip-qí-sí am-ma a-wi-lu a-ni-ú-tum li-iš-me-ú am-ma ta-aḫ-sí-sà-tù-ni ku-nu-ku-a ú ku-nu-ku-kà i-ki-ir ú-ul kà-in ša ni-kà-sí a-na-ku ù a-ta ni-sí-ú-ma ni-iz-ku-ú lá tù-na-ḫa-ni a-lá-ḫu-um en-um-a-šùr e-pu-ul um-ma a-lá-ḫu-um-ma ta-aḫ-sí-sà-tum ku-nu-ku-kà ú ku-nu-ku-a ba-a-am 3 šál-ša-at lu ni-iṣ-ba-at-ma a ma-lá ta-aḫ-sí-sà-tim ša i-na ku-nu-ki-ni kán-kà-ni lu ni-iz-ku ú ma-lá KÙ.BABBAR a-bu-ni i li-bi4-a ù i li-bi-kà i-dí-ú-ma ṭup-pá-am a-bu-ni e-zi-bu-ma ṭup-pá-am um-me-a-nu a-bi4-ni ú-kà-i-lu-ni-ma i-na IGI kà-ri-im ṣa-ḫe-er GAL iš-ku-nu-šu-ma kà-ru-um a-na ra-bi-ṣí-im ip-qí-du-ni ba-a-am u4-ma-ma ma-lá KÙ.BABBAR i ṭup-pí-im lá-áp-ta-ni-ni lu ni-iš-qúl-ma a ma-lá dí-in a-lim{ki} KÙ.BABBAR lu ni-ik-nu-uk-ma a-na a-lim lu ni-lik ṭup-pá-am ša a-lim{ki} ù ra-bi-ṣa-am lá nu-na-aḫ a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in IGI en-na-sú-in IGI LUGAL-{d}IM IGI ili5-ba-ni,6a
2986,578ff6fa-deab-493a-9868-1adc34ee1349,Cuneiform Tablet Kt 94/k 1170 (AKT 6a 258),Kt 94/k 1170,en-um-a-šur a-lá-ḫu-um iš-a-al um-ma en-um-a-šur-ma a-na a-lá-ḫi-im-ma e-ni-ma-ma na-áš-pé-er-tum ku-nu-ki-kà IGI 3 ší-be ú-kà-lim-kà-ma tù-kà-i-ni-ma šu-nu-tí-ma ni-ip-qí-sú a-ma a-we-lu a-ni-ú-tum li-iš-me-ú a-ma ta-aḫ-sí-sá-tù-ni ku-nu-ku-ú-a ú ku-nu-ku-kà i-ki-ir ú-lá kà-i-in ša ni-kà-sí a-na-ku ú a-ta ni-sí-ú-ma ni-iz-ku-ú lá tù-na-ḫa-ni a-lá-ḫu-um en-um-a-šur e-pu-ul um-ma a-lá-ḫu-um-ma ta-aḫ-sí-sá-tum ku-nu-ku-kà ú ku-nu-ku-ú-a ba-am 3 lu ni-iṣ-ba-at-ma a ma-lá ta-aḫ-sí-sá-tim ša i-na ku-nu-ki-ni kà-an-kà-ni lu ni-iz-ku ma-lá KÙ.BABBAR a-bu-ni i li-bi-a ú i li-bi4-kà i-dí-ú-ma ṭup-pá-am a-bu-ni e-zi-bu-ma ṭup-pá-am um-me-a-nu a-bi-ni ú-kà-i-lu-ni-ma i-na IGI kà-ri-im ṣa-ḫi-ir GAL iš-ku-nu-šu-ma kà-ra-am a-na ra-bi4-ṣí-im ip-qí-du-ni ba-am u4-ma-am ma-lá KÙ.BABBAR i-na ṭup-pí-im lá-áp-ta-ni-ni lu nim-gu5-ra-ma a ma-lá dí-in a-lim{ki} KÙ.BABBAR lu ni-ik-nu-uk-ma a-na a-lim{ki} lu ni-li-ik ṭup-pá-am ša a-lim{ki} ú ra-bi4-ṣa-am la nu-na-aḫ a-na a-wa-tim a-ni-a-tim kà-ru-um kà-né-eš{ki} i-dí-ni-a-tí-ma IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in IGI en-na-sú-in IGI LUGAL-{d}IM IGI ili5-ba-ni,6a
2987,f73ed41a-1d50-4f52-b23f-e496d275b2e6,Cuneiform Tablet Kt 94/k 1227 (AKT 6a 259),Kt 94/k 1227,a-lá-ḫu-um en-um-a-šur e-pu-ul um-ma a-lá-ḫu-um-ma ta-aḫ-sí-sà-tum ku-nu-ku-kà ú ku-nu-ku-a ba-a 3 lu ni-iṣ-ba-at a ma-lá ta-aḫ-sí-sà-tí ša i-na ku-nu-ki-ni lu ni-iz-ku ù KÙ.BABBAR ma-lá a-bu-ni <gap> i li-bi-a ú i li-bi-kà i-dí-ú-ma ṭup-pá-am a-bu-ni e-zi-bu-ma ṭup-pá-am um-me-a-nu a-bi-ni ú-kà-i-lu-ni-ma i-na ma-ḫa-ar kà-ri-im iš-ku-nu-šu-ma kà-ru-um a-na ra-bi-ṣí-im ṭup-pá-am ip-qí-du-ni ba-a ú-ma-ma ma-lá KÙ.BABBAR lá-áp-ta-ni-ni lu ni-iš-qú-ul-ma a ma-lá dí-in a-lim{ki} KÙ.BABBAR <gap> lu ni-ik-nu-uk-ma a-na a-lim{ki} lu ni-li-ik ṭup-pá-am ša a-lim{ki} ú ra-bi-ṣa-am lá nu-na-aḫ lá ri-ig-ma-tù ší-bu-tù,6a
2988,0677963f-3fac-4d49-b13e-9d6322bf6fb1,Cuneiform Tablet Kt 94/k 1250 (AKT 6a 260),Kt 94/k 1250,en-um-a-šùr a-na a-lá-ḫi-im iṣ-ba-at-ni-a-tí-ma um-ma en-um-a-šùr-ma a-na a-lá-ḫi-im-ma al-kam lá-áš-a-al-kà um-ma a-lá-ḫu-um-ma a-na mì-nim ta-ša-a-lá-ni um-ma en-um-a-šùr-ma a-na ta-aḫ-sí-sá-tim ša a-na-ku ù a-ta ni-kà-sí ni-sí-ú i ku-nu-ki-kà ù ku-nu-ki-a kà-an-kà-ni ik-ra-ni ú-lá kà-i-na-ni um-ma a-lá-ḫu-um-ma ta-aḫ-sí-sá-tim ša ku-nu-ki-a ú ku-nu-ki-kà kà-an-kà-ni ke-na ku-nu-ku-a lá a-na-ki-ir um-ma en-um-a-šur-ma ša ni-iš a-lim{ki} <gap> ta-mu-ú kà-i-lá <gap> a-na a-lim{ki} ú be-lí-a a-wa-tí bi4-lá a-na a-wa-tim a-ni-a-tím kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in IGI a-šur-GAL DUMU lá-qé-ep IGI ili5-ba-ni DUMU a-mur-IŠTAR,6a
2989,a84c254e-2905-4eb4-b14e-3a5b75c929f1,Cuneiform Tablet Kt 94/k 1228 (AKT 6a 261),Kt 94/k 1228,en-um-a-šùr a-na a-lá-ḫi-im iṣ-ba-at-ni-a-tí-ma ṭup-pá-am na-áš-pé-er-tám la pá-tí-tám ú-kà-li-im-šu-ma um-ma en-um-a-šùr-ma ṭup-pu-um a-num ku-nu-ku-kà-a lá ku-nu-ku-kà-a a-lá-ḫu-um iš-ta-al-ma e-pu-ul-šu um-ma a-lá-ḫu-um-ma ke-na ku-nu-ku-a a-na ša ki-ma a-bi4-ni ša ki-ma i-a-tí ú ku-a-tí ú-šé-bi4-il5-kà-ma mì-šu-um lá tù-kà-li-im-ší-ma a-dí u4-mì-im a-nim tù-kà-il5-ší na-áš-pé-er-tám lá pá-tí-tám en-um-a-šur a qá-tí-ni iš-ku-un a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-in-ni-a-tí-ma IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in IGI a-šur-na-da IGI ḫa-da-a IGI šu-IŠTAR,6a
2990,b3a7c731-d8d3-4072-a381-f37e804c46cf,Cuneiform Tablet Kt 94/k 764 (AKT 6a 262),Kt 94/k 764,ù lu tám-kà-ar a-bi4-a a-ta lá tù-na-ḫa-ni ù KÙ.BABBAR ma-dam lá tù-ša-ag-ma-ra-ni ri-ig-ma-tum,6a
2991,ca31b641-7fee-4ca0-87b7-d097e94566d2,Cuneiform Tablet Kt 94/k 1304 (AKT 6a 263),Kt 94/k 1304,ra-bi-ṣú-um ša ša-lim-a-šùr a-na en-um-a-šùr ú a-lá-ḫi-im me-er-e ša-lim-a-šùr iṣ-ba-at-ni-a-tí-ma um-ma ra-bi-ṣú-ma ṭup-pá-am ša a-bu-ku-nu KÙ.BABBAR i-na li-bi-ku-nu i-dí-ú-ni-ma ṭup-pá-am um-me-a-nu a-bi-ku-nu ú-kà-i-lu-ni-ma i-na ma-ḫa-ar kà-ri-im um-me-a-nu iš-ku-nu-šu-ni kà-ru-um i-a-tí ip-qí-id-šu ba-a-nim a ma-lá ṭup-pí-im ša a-lim{ki} KÙ.BABBAR ma-lá i-na li-bi-ku-nu <gap>-ma tí-ni <gap> KÙ.BABBAR šu-uq-lá-ma ku-un-kà-ma a-na a-lim{ki} al-kà lá tù-na-a-ni um-ma a-lá-ḫu-um-ma ba-a-am ma-lá a-bu-ni i-na li-bi-ni KÙ.BABBAR i-dí-ú-ni lu ni-iš-qú-ul-ma ú iš-té-e ra-bi-ṣí-im lá-li-kà um-ma en-um-a-šùr-ma a-na ra-bi-ṣí-im-ma a-na pu-tí-a-ma ša-lá-ni-ma ú lá-pu-ul-kà-ma ú a-pu-tí-a-ma lá-li-ik a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in IGI PUZUR4-<gap> DUMU a-šùr-DU10 IGI šu-a-šùr DUMU šu-sú-in,6a
2992,092043d6-49a6-40cd-b867-5771e4babd95,Cuneiform Tablet Kt 94/k 1171 (AKT 6a 264),Kt 94/k 1171,ra-bi-ṣú-um ša É šál-ma-a-šùr a-ba-ba iṣ-ba-at-ni-a-tí-ma a-na en-um-a-šùr ù a-lá-ḫi-im ù-ṭá-ḫi-ni-a-tí-ma i-na ṭup-pí-im ša a-lim{ki} mì-ma šál-ma-a-šùr e-zi-bu ù-pá-ḫa-ar-ma a-na a-lim{ki} ù-ba-al lu ba-áb-tám a-bu-ku-nu e-zi-ib lu mì-ma e-zi-bu ba-a-nim kà-li-ma-ni-ma i-ša-ḫa-tí-ku-nu lá-zi-iz-ma lu-šé-ru-ku-nu-tí-ma ù a-na a-lim{ki} lu ni-lik tí-ma-li-ma áš-al-ku-nu-ma um-ma a-na-ku-ma KÙ.BABBAR ma-lá i li-bi-ku-nu a-bu-ku-nu i-dí-ú šu-uq-lá-ma ù a-na a-lim{ki} lu ni-lik um-ma a-lá-ḫu-um-ma a-ḫu-kà-ma ba-a-am ma-lá a-bi KÙ.BABBAR i-na ṭup-pí-im il5-pu-tù-ni lá-áš-qúl-ma ù a-na a-lim{ki} lu ni-lik a-ta ki-ma KÙ.BABBAR ša-qá-li-im da-na-tim ta-ta-na-pá-lá-ni ù KÙ.BABBAR ša-qá-lam lá ta-mu-a lá tù-na-ḫa-ni ù a-šar ba-áb-tum ša a-bi-kà i-ba-ší-ú kà-li-ma-ni i-ša-ḫa-tí-ku-nu lá-zi-iz-ma KÙ.BABBAR lu nu-ša-áš-qí-il5-ma a-na a-lim{ki} lu ni-lik a-ḫu-kà a-lá-ḫu-um KÙ.BABBAR ma-lá a-bu-šu i ṭup-pí-im il5-pu-tù-šu KÙ.BABBAR ù-kà-lam a-ta KÙ.BABBAR ma-lá a-bu-kà i-na ṭup-pì-im il5-pu-tù-kà ša-qá-lam lá ta-mu-a ù tù-na-ḫa-ni al-kam ba-a-am ma-lá a-bu-kà i-na ṭup-pì-im il5-pu-tù-kà a ma-lá dí-in a-lim{ki} KÙ.BABBAR šu-qúl a-na a-lim{ki} lu ni-lik lá tù-na-ḫa-ni ra-bi-ṣa-am a-ba-ba en-um-a-šùr e-pu-ul us-kà-i-in a ṭup-pì-im ša a-lim{ki} ú ra-bi-ṣí-im ša be-li-a tí-ma-li-ma ta-áš-a-lá-ni-ma a-pu-ul-kà um-ma a-na-ku-ma i-na mu-a-at a-bi-ni i-na dur4-ḫu-mì-it a-na-ku lá-šu-a-ku a-lá-ḫu-um a-ḫi i-na ri-iš a-bi-ni i-zi-iz us-ta-ki-lu-ni-ma a-bi ma-da-tim lu il5-pu-ta-ni mì-ma ša ṭup-pì-im a-nim a-na a-bi-a lá ḫa-bu-lá-ku ba-a-am a-na dur4-ḫi-mì-it a-šar bu-lá-tù <gap> ša a-bi4-ni i-ba-ší-ú-ni lu ni-lik-ma bu-lá-tí lu ni-il5-qé-a-ma a ma-lá dí-in a-lim{ki} iš-tí-kà a-na a-lim{ki} lu ni-lik-ma li-ma-am lu nu-ṭá-ib-ma a-na ší-ma-tim ša a-bi-ni ša a-lim{ki} iš-tí a-ḫi-a ù a-ḫa-tí-a lá-tù-wa šu-ma um-ma a-ta-ma a dur4-ḫi-mì-it lá a-lá-ak qí-bi-a-am-ma ba-a-am u4-ma-ma a-na a-lim{ki} lu nu-ṣí i-na dí-tim lá tù-ša-a-lá-ni a-na a-lá-ki-im qá-at-kà lá am-ḫa-aṣ a-lá-ḫu-um ra-bi-ṣa-am a-ba-ba e-pu-ul um-ma a-lá-ḫu-um-ma us-kà-i-in a ṭup-pì-im ša a-lim{ki} ù ra-bi-ṣí-im ša be-li-a tí-ma-li-ma ta-áš-a-lá-ni-ni a-pu-ul-kà um-ma a-na-ku-ma al-kam ba-a-am ma-lá a-bi KÙ.BABBAR i-na ṭup-pì-im il5-pu-tù-ni lá-áš-qúl-ma ù a-na a-lim{ki} lu ni-lik al-kam u4-ma-am KÙ.BABBAR lá-áš-qúl-ma ú ba-a-ba-tim ša a-bi-ni lu-kà-li-im-ma i-na ša-ḫa-tí-a i-zi-iz-ma KÙ.BABBAR lu nu-ša-áš-qí-il5-ma a ma-lá ṭup-pì-im ša a-lim{ki} a-na a-lim lu ni-lik,6a
2993,78e97f31-ddc5-43a6-b38c-1443f3b2ef65,Cuneiform Tablet Kt 94/k 1209 (AKT 6a 265),Kt 94/k 1209,ṭup-pá-am ša a-lim{ki} ú ra-bi-ṣa-am ša be-li-a lá ú-na-aḫ a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in IGI ú-ṣú-ra-nim DUMU sá-li-a IGI a-šùr-ták-lá-ku DUMU a-šùr-mu-ta-bi-il5,6a
2994,cbfb79f1-b5c9-4f85-99e0-eb44dca75171,Cuneiform Tablet Kt 94/k 584b (AKT 6a 267),Kt 94/k 584b,<gap> ša-ma <gap>-dí-na <gap> tí <gap> šál-ma-a-šur e-zi-bu <gap> al <gap> a-bi ú <gap> bi lim a <gap> nu IGI <gap> a-na a-lim{ki} lu ni-lik tí-ma-li-ma áš-a-al-ku-nu-ma um-ma a-na-ku-ma KÙ.BABBAR ma-lá i li-bi4-ku-nu a-bu-ku-nu i-dí-ú šu-uq-lá-ma ú a-na a-lim{ki} lu ni-lik um-ma a-lá-ḫu-um-ma a-ḫu-kà-ma ba-a-nim ma-lá a-bi4 KÙ.BABBAR i ṭù-pì-im il5-pu-tí-ni lá-áš-qúl-ma ù a-na a-lim{ki} lu ni-lik a-ta ki-ma KÙ.BABBAR ša-qá-li-im da-na-tim ta-ta-na-pá-lá-ni ù KÙ.BABBAR ša-qá-lam lá ta-mu-a lá tù-na-ḫa-ni ù a-šar ba-a-ba-tum ša a-bi4-ku-nu i-ba-ší-ú kà-li-ma-ni-ma i-ša-ḫa-tí-ku-nu lá-zi-iz-ma KÙ.BABBAR lu-ša-áš-qí-il5-ma a-na a-lim{ki} lu ni-lik a-ḫu-kà a-lá-ḫu-um KÙ.BABBAR ma-lá a-bu-šu i ṭù-pì-im il5-pu-tù-šu KÙ.BABBAR ú-kà-al a-ta KÙ.BABBAR ma-lá a-bu-kà i ṭù-pì-im il5-pu-tù-kà ša-qá-lam lá ta-mu-a ù tù-na-ni-a al-kam ba-a-nim ma-lá a-bu-kà i-na ṭù-pì-im il5-pu-tù-kà a ma-lá dí-in a-lim{ki} KÙ.BABBAR šu-qúl-ma ù a-na a-lim{ki} lu ni-lik lá tù-na-ḫa-ni ra-bi4-ṣa-am a-ba-ba en-nam-a-šur e-pu-ul uš-kà-in a-na ṭup-pì-im ša a-lim{ki} ù ra-bi4-ṣí-im ša be-lí-a tí-ma-li-ma ta-áš-a-lá-ni-ma a-pu-ul-kà um-ma a-na-ku-ma i-na mu-a-at a-bi4-ni i dur4-ḫu-mì-it a-na-ku lá-šu-a-ku a-lá-ḫu-um a-ḫi i ri-iš a-bi4-ni i-zi-iz ús-ta-ki-lu-ni-ma a-bi4 ma-da-tí-im lu il5-pu-ta-ni mì-ma ša ṭup-pì-im a-nim a-na a-bi4-a lá ḫa-bu-lá-ku ba-a-nim a-na du-ur-ḫu-mì-it a-šar bu-lá-tù ša a-bi4-ni i-ba-ší-ú-ni lu ni-lik-ma bu-lá-tí lu ni-il5-qé-a-ma a ma-lá dí-in a-lim{ki} iš-tí-kà a-na a-lim{ki} lu ni-lik-ma li-ma-am lu nu-ṭá-i-ib-ma a-na ší-ma-tim ša a-bi4-ni ša a-lim{ki} iš-tí a-ḫi-a ù a-ḫa-tí-a lá-tù-wa šu-ma um-ma a-ta-ma a-na dur4-ḫu-mì-it lá a-lá-ak qí-bi4-a-ma ba-a-nim u4-ma-ma a-na a-lim{ki} lu ni-ṣí i dí-tí-im lá tù-ša-a-lá-ni a-na a-lá-ki-im qá-at-kà lá am-ḫa-aṣ a-lá-ḫu-um ra-bi4-ṣa-am a-ba-ba e-pu-ul um-ma a-lá-ḫu-ma uš-kà-in a-na ṭup-pì-im ša a-lim{ki} ú ra-bi4-ṣí-im ša be-li-a tí-ma-li-ma tù-ša-e-li-ma a-pu-ul-kà um-ma a-na-ku-ma al-kam ba-a-am ma-lá a-bi4 KÙ.BABBAR i ṭù-pì-im il5-pu-tù-ni lá-áš-qúl-ma ú a-na a-lim{ki} lu ni-lik al-kam u4-ma-ma KÙ.BABBAR lá-áš-qúl-ma ú ba-a-ba-tim ša a-bi-ni lu-kà-li-im-im-kà-ma i ša-ḫa-tí-a i-zi-iz-ma KÙ.BABBAR lu nu-ša-áš-qí-il5-ma a ma-lá ṭup-pí-im ša a-lim{ki} a-na a-lim{ki} lu ni-lik <gap> ṭup-pá-am ša a-lim{ki} ù ra-bi4-ṣa-am ša be-li-ni lá ú-na-aḫ a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in IGI ú-ṣú-ra-nim DUMU sá-li-a IGI a-šur-ták-lá-ku DUMU a-šur-mu-ta-bi4-il5,6a
2995,0db91c91-7c07-4b21-962a-a6cde6af9a20,Cuneiform Tablet Kt 94/k 1162 (AKT 6a 268),Kt 94/k 1162,<gap> né-ma-al-šu ba-a-nim a ma-lá dí-in a-lim{ki} KÙ.BABBAR šu-uq-lá-ma ù a-na a-lim{ki} lu ni-lik lá tù-na-ḫa-ni lá ri-ig-ma-tum ší-bu-tum uš-kà-i-in a ṭup-pí-im ša a-lim{ki} ú ra-bi4-ṣí-im ša be-li-a um-ma en-um-a-šur-ma a-na a-ba-ba-ma a-ta IGI a-we-li a-ni-ú-tim ta-aṣ-ba-tám-ma i-na dí-tim ta-áš-a-lá-ni a-ta ra-bi-ṣú-um i-li-kam-ma um-ma a-lá-ḫu-um-ma a-ḫi ma a bu a-ša-al ni-a-tí iš-al-ni-a-tí-ma na-pá-lá-tí-ni a-na a-lim{ki} i-ta-ba-al i-nu-mì a-bu-ni i-na dur4-ḫu-mì-it me-tù a-na-ku lá-šu-a-ku-ma a-ḫi a-lá-ḫu-um i ri-iš a-bi-a i-zi-iz ús-ta-ki-lu-ni-ma a-bi ma-lá li-bi-šu-ma ù-lá-pí-it mì-ma a-na a-bi-a lá ḫa-bu-lá-ku ba-a-am URUDU ša dur4-ḫu-mì-it bu-lá-tí lu ni-al-qé-a-am-ma a ma-lá dí-in a-lim{ki} iš-tí-kà a-na a-lim{ki} lu ni-lik-ma i-na bu-lá-tí ša a-bi-ni li-ma-am lu nu-ṭá-ib-ma i-na ší-ma-tí-ni ša a-bi4-ni ša a-lim{ki} iš-tí a-ḫi-a ù a-ḫa-tí-a <gap> ra-bi-ṣú-um <gap> a-na a-wa-tim a-ni-a-tim kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šur ší-bu-tí-ni ni-dí-in IGI <gap>-i IGI sú-in-SIG5 DUMU a-šur-i-mì-tí,6a
2996,e3a051d6-9df7-414c-a07e-3cf6b769dac0,Cuneiform Tablet Kt 94/k 1137 (AKT 6a 269),Kt 94/k 1137,ra-bi-ṣú-um ša ša-lim-a-šùr en-um-a-šùr ú a-lá-ḫa-am me-er-e ša-lim-a-šùr iš-a-al ba-a-nim a-na ma-lá ṭup-pí-im ša a-lim{ki} a-šar bu-lá-tù KÙ.BABBAR-áp a-bi-ku-nu i-ba-ší-ú kà-li-ma-ni-ma lu-šé-ra-ku-nu-tí lá tù-na-ḫa-ni ra-bi-ṣa-am i-a-tí ša ni-iš a-lim{ki} ú ru-ba-im ta-mu-ú lu ú-kà-al ki-ma i-sà-na-li-ú-ni-ma um-ma a-na-ku-ma ba-a-nim ri-id-a-ni bu-lá-tí KÙ.BABBAR-áp a-bi-ku-nu lu-šé-ra-ku-nu-tí šu-nu a-lá-kam ú kà-lu-mì-i lá i-mu-ú-ni a-lá-ak a-na a-lim{ki} tù-ta-ni-ḫa-ni lá ri-ig-ma-tum ší-bu-tum um-ma en-um-a-šùr-ma uš-kà-in a-na ṭup-pí-im ša a-lim{ki} ú ra-bi-ṣí-im ša be-lí-a a-na dí-tí-im ú-lá áš-pu-ur-kà a-na bu-lá-té-e ša a-bi-ni pá-ḫu-ri-im lu ta-li-kam ú a-dí ma-lá ú ší-ni-šu ta-áš-e-li-ma qá-at-kà ú-lá am-ḫa-aṣ um-ma a-na-ku-ma ba-a-am a-šar bu-lá-tù ša a-bi-ni i-ba-ší-ú-ni a-na du-ur-ḫu-mì-it lu ni-li-ik-ma lu nu-pá-ḫi-ir um-ma ra-bi-ṣú-um-ma ší-im NA4.ZA.GÌN a-le-e um-ma en-um-a-šùr-ma a-na NA4.ZA.GÌN ša-áp-ra-tí um-ma ra-bi-ṣú-um-ma a-ma kà-i-lá ki-ma um-ma šu-ut-ma a-na NA4.ZA.GÌN ša-áp-ra-tí ú ší-im NA4.ZA.GÌN ú-kà-i-kà ú-lá a-ki-ir-kà um-ma ra-bi-ṣú-um-ma bi-lam NA4.ZA.GÌN lu ni-ik-nu-uk-ma um-ma en-um-a-šùr-ma a-na-ku a-na a-lim{ki} ú-ba-al-šu a-na 28 {TÚG}ku-ta-ni a-ḫi a-lá-ḫa-am ša-al-ma ú-ul li-ki-ir-kà ú-ul lu-kà-i-kà a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in IGI en-um-a-šùr DUMU a-ḫi-a IGI DU10-ṣí-lá-a-šur DUMU a-šùr-ba-ni a-lá-ḫu-um DUMU šu-ku-bi-im tap-pá-i-ni,6a
2997,d695ae23-3858-4958-aa95-c57852b0689c,Cuneiform Tablet Kt 94/k 1241 (AKT 6a 270),Kt 94/k 1241,a-lá-ḫu-um ra-bi-ṣa-am a-ba-ba e-pu-ul um-ma a-lá-ḫu-um-ma us-kà-in a ṭup-pì-im ša a-lim{ki} ú ra-bi-ṣí-im ša be-li-a al-kam ba-a-am u4-ma-ma a ma-lá i-na ṭup-pì-im KÙ.BABBAR a-bu-ni il5-pu-tù-ni-a-tí-ma i li-bi4-ni i-dí-ú al-kam ba-a-am ma-lá KÙ.BABBAR a-na-ku lá-áp-ta-ku-ni-ma a-bi i-na li-bi4-a i-dí-ú u4-ma-ma KÙ.BABBAR lá-áš-qúl-ma a ma-lá ṭup-pì-im ša a-lim{ki} a-na a-lim{ki} lu ni-lik lá ú-na-aḫ-kà ší-bu-tum,6a
2998,81261a01-e023-4376-9a04-17e1db7962fc,Cuneiform Tablet Kt 94/k 1264 (AKT 6a 271),Kt 94/k 1264,a-lá-ḫu-um ra-bi-ṣa-am a-ba-ba e-pu-ul-šu um-ma a-lá-ḫu-um-ma us-kà-i-in a ṭup-pí-im ša a-lim{ki} ù ra-bi-ṣí-im ša be-li-a tí-ma-li-ma ta-áš-a-lá-ni-ma a-pu-ul-kà um-ma a-na-ku-ma al-kam ba-a-am ma-lá a-bi KÙ.BABBAR i ṭup-pì-im il5-pu-tí-ni lá-áš-qúl-ma ù a-na a-lim{ki} lu ni-lik al-kam u4-ma-ma KÙ.BABBAR lá-áš-qúl-ma ù ba-a-ba-tim ša a-bi-ni lu-kà-li-ma i ša-ḫa-tí-a i-zi-iz-ma KÙ.BABBAR lu nu-ša-áš-qí-il5-ma a ma-lá ṭup-pí-im ša a-lim{ki} a-na a-lim{ki} lu ni-lik ṭup-pá-am ša a-lim{ki} ú ra-bi-ṣa-am ša be-li-ni lá nu-na-aḫ ší-bu-tum,6a
